,Sex,Age group,VALUE,REF_DATE,UOM
3818760,Both sexes,15 years and over,30932.8,2019-11-01,Persons
3818761,Both sexes,15 to 24 years,4396.5,2019-11-01,Persons
3818762,Both sexes,25 years and over,26536.4,2019-11-01,Persons
3818763,Both sexes,25 to 44 years,10193.4,2019-11-01,Persons
3818764,Both sexes,45 to 64 years,9888.0,2019-11-01,Persons
3818765,Both sexes,45 years and over,16343.0,2019-11-01,Persons
3818766,Both sexes,25 to 54 years,14922.8,2019-11-01,Persons
3818767,Both sexes,55 years and over,11613.6,2019-11-01,Persons
3818768,Both sexes,15 to 64 years,24477.8,2019-11-01,Persons
3818769,Both sexes,15 to 19 years,2011.2,2019-11-01,Persons
3818770,Both sexes,20 to 24 years,2385.3,2019-11-01,Persons
3818771,Both sexes,25 to 29 years,2618.4,2019-11-01,Persons
3818772,Both sexes,30 to 34 years,2589.3,2019-11-01,Persons
3818773,Both sexes,35 to 39 years,2549.9,2019-11-01,Persons
3818774,Both sexes,40 to 44 years,2435.8,2019-11-01,Persons
3818775,Both sexes,45 to 49 years,2296.5,2019-11-01,Persons
3818776,Both sexes,50 to 54 years,2432.9,2019-11-01,Persons
3818777,Both sexes,55 to 59 years,2683.4,2019-11-01,Persons
3818778,Both sexes,60 to 64 years,2475.2,2019-11-01,Persons
3818779,Both sexes,65 years and over,6455.0,2019-11-01,Persons
3818780,Both sexes,65 to 69 years,2081.6,2019-11-01,Persons
3818781,Both sexes,70 years and over,4373.4,2019-11-01,Persons
3818782,Males,15 years and over,15260.7,2019-11-01,Persons
3818783,Males,15 to 24 years,2263.7,2019-11-01,Persons
3818784,Males,25 years and over,12997.0,2019-11-01,Persons
3818785,Males,25 to 44 years,5082.9,2019-11-01,Persons
3818786,Males,45 to 64 years,4912.3,2019-11-01,Persons
3818787,Males,45 years and over,7914.1,2019-11-01,Persons
3818788,Males,25 to 54 years,7437.2,2019-11-01,Persons
3818789,Males,55 years and over,5559.8,2019-11-01,Persons
3818790,Males,15 to 64 years,12258.9,2019-11-01,Persons
3818791,Males,15 to 19 years,1033.6,2019-11-01,Persons
3818792,Males,20 to 24 years,1230.1,2019-11-01,Persons
3818793,Males,25 to 29 years,1320.7,2019-11-01,Persons
3818794,Males,30 to 34 years,1285.3,2019-11-01,Persons
3818795,Males,35 to 39 years,1278.7,2019-11-01,Persons
3818796,Males,40 to 44 years,1198.2,2019-11-01,Persons
3818797,Males,45 to 49 years,1131.5,2019-11-01,Persons
3818798,Males,50 to 54 years,1222.8,2019-11-01,Persons
3818799,Males,55 to 59 years,1336.0,2019-11-01,Persons
3818800,Males,60 to 64 years,1222.0,2019-11-01,Persons
3818801,Males,65 years and over,3001.7,2019-11-01,Persons
3818802,Males,65 to 69 years,1015.0,2019-11-01,Persons
3818803,Males,70 years and over,1986.8,2019-11-01,Persons
3818804,Females,15 years and over,15672.1,2019-11-01,Persons
3818805,Females,15 to 24 years,2132.8,2019-11-01,Persons
3818806,Females,25 years and over,13539.3,2019-11-01,Persons
3818807,Females,25 to 44 years,5110.4,2019-11-01,Persons
3818808,Females,45 to 64 years,4975.7,2019-11-01,Persons
3818809,Females,45 years and over,8428.9,2019-11-01,Persons
3818810,Females,25 to 54 years,7485.6,2019-11-01,Persons
3818811,Females,55 years and over,6053.8,2019-11-01,Persons
3818812,Females,15 to 64 years,12218.9,2019-11-01,Persons
3818813,Females,15 to 19 years,977.6,2019-11-01,Persons
3818814,Females,20 to 24 years,1155.2,2019-11-01,Persons
3818815,Females,25 to 29 years,1297.7,2019-11-01,Persons
3818816,Females,30 to 34 years,1304.0,2019-11-01,Persons
3818817,Females,35 to 39 years,1271.2,2019-11-01,Persons
3818818,Females,40 to 44 years,1237.6,2019-11-01,Persons
3818819,Females,45 to 49 years,1165.1,2019-11-01,Persons
3818820,Females,50 to 54 years,1210.1,2019-11-01,Persons
3818821,Females,55 to 59 years,1347.4,2019-11-01,Persons
3818822,Females,60 to 64 years,1253.2,2019-11-01,Persons
3818823,Females,65 years and over,3453.3,2019-11-01,Persons
3818824,Females,65 to 69 years,1066.6,2019-11-01,Persons
3818825,Females,70 years and over,2386.6,2019-11-01,Persons
3818826,Both sexes,15 years and over,20206.2,2019-11-01,Persons
3818827,Both sexes,15 to 24 years,2736.8,2019-11-01,Persons
3818828,Both sexes,25 years and over,17469.4,2019-11-01,Persons
3818829,Both sexes,25 to 44 years,8937.7,2019-11-01,Persons
3818830,Both sexes,45 to 64 years,7585.6,2019-11-01,Persons
3818831,Both sexes,45 years and over,8531.7,2019-11-01,Persons
3818832,Both sexes,25 to 54 years,13052.3,2019-11-01,Persons
3818833,Both sexes,55 years and over,4417.1,2019-11-01,Persons
3818834,Both sexes,15 to 64 years,19260.1,2019-11-01,Persons
3818835,Both sexes,15 to 19 years,923.7,2019-11-01,Persons
3818836,Both sexes,20 to 24 years,1813.1,2019-11-01,Persons
3818837,Both sexes,25 to 29 years,2253.6,2019-11-01,Persons
3818838,Both sexes,30 to 34 years,2251.5,2019-11-01,Persons
3818839,Both sexes,35 to 39 years,2259.0,2019-11-01,Persons
3818840,Both sexes,40 to 44 years,2173.5,2019-11-01,Persons
3818841,Both sexes,45 to 49 years,2028.0,2019-11-01,Persons
3818842,Both sexes,50 to 54 years,2086.6,2019-11-01,Persons
3818843,Both sexes,55 to 59 years,2036.4,2019-11-01,Persons
3818844,Both sexes,60 to 64 years,1434.6,2019-11-01,Persons
3818845,Both sexes,65 years and over,946.1,2019-11-01,Persons
3818846,Both sexes,65 to 69 years,584.4,2019-11-01,Persons
3818847,Both sexes,70 years and over,361.7,2019-11-01,Persons
3818848,Males,15 years and over,10612.4,2019-11-01,Persons
3818849,Males,15 to 24 years,1391.3,2019-11-01,Persons
3818850,Males,25 years and over,9221.1,2019-11-01,Persons
3818851,Males,25 to 44 years,4672.3,2019-11-01,Persons
3818852,Males,45 to 64 years,3961.9,2019-11-01,Persons
3818853,Males,45 years and over,4548.8,2019-11-01,Persons
3818854,Males,25 to 54 years,6790.4,2019-11-01,Persons
3818855,Males,55 years and over,2430.7,2019-11-01,Persons
3818856,Males,15 to 64 years,10025.5,2019-11-01,Persons
3818857,Males,15 to 19 years,458.9,2019-11-01,Persons
3818858,Males,20 to 24 years,932.4,2019-11-01,Persons
3818859,Males,25 to 29 years,1164.5,2019-11-01,Persons
3818860,Males,30 to 34 years,1197.9,2019-11-01,Persons
3818861,Males,35 to 39 years,1186.9,2019-11-01,Persons
3818862,Males,40 to 44 years,1123.0,2019-11-01,Persons
3818863,Males,45 to 49 years,1029.7,2019-11-01,Persons
3818864,Males,50 to 54 years,1088.4,2019-11-01,Persons
3818865,Males,55 to 59 years,1060.5,2019-11-01,Persons
3818866,Males,60 to 64 years,783.3,2019-11-01,Persons
3818867,Males,65 years and over,586.9,2019-11-01,Persons
3818868,Males,65 to 69 years,348.2,2019-11-01,Persons
3818869,Males,70 years and over,238.8,2019-11-01,Persons
3818870,Females,15 years and over,9593.8,2019-11-01,Persons
3818871,Females,15 to 24 years,1345.5,2019-11-01,Persons
3818872,Females,25 years and over,8248.2,2019-11-01,Persons
3818873,Females,25 to 44 years,4265.4,2019-11-01,Persons
3818874,Females,45 to 64 years,3623.7,2019-11-01,Persons
3818875,Females,45 years and over,3982.9,2019-11-01,Persons
3818876,Females,25 to 54 years,6261.8,2019-11-01,Persons
3818877,Females,55 years and over,1986.4,2019-11-01,Persons
3818878,Females,15 to 64 years,9234.6,2019-11-01,Persons
3818879,Females,15 to 19 years,464.8,2019-11-01,Persons
3818880,Females,20 to 24 years,880.8,2019-11-01,Persons
3818881,Females,25 to 29 years,1089.1,2019-11-01,Persons
3818882,Females,30 to 34 years,1053.6,2019-11-01,Persons
3818883,Females,35 to 39 years,1072.1,2019-11-01,Persons
3818884,Females,40 to 44 years,1050.6,2019-11-01,Persons
3818885,Females,45 to 49 years,998.3,2019-11-01,Persons
3818886,Females,50 to 54 years,998.2,2019-11-01,Persons
3818887,Females,55 to 59 years,976.0,2019-11-01,Persons
3818888,Females,60 to 64 years,651.3,2019-11-01,Persons
3818889,Females,65 years and over,359.2,2019-11-01,Persons
3818890,Females,65 to 69 years,236.2,2019-11-01,Persons
3818891,Females,70 years and over,123.0,2019-11-01,Persons
3818892,Both sexes,15 years and over,19103.3,2019-11-01,Persons
3818893,Both sexes,15 to 24 years,2444.9,2019-11-01,Persons
3818894,Both sexes,25 years and over,16658.5,2019-11-01,Persons
3818895,Both sexes,25 to 44 years,8490.8,2019-11-01,Persons
3818896,Both sexes,45 to 64 years,7257.4,2019-11-01,Persons
3818897,Both sexes,45 years and over,8167.6,2019-11-01,Persons
3818898,Both sexes,25 to 54 years,12445.8,2019-11-01,Persons
3818899,Both sexes,55 years and over,4212.7,2019-11-01,Persons
3818900,Both sexes,15 to 64 years,18193.1,2019-11-01,Persons
3818901,Both sexes,15 to 19 years,791.8,2019-11-01,Persons
3818902,Both sexes,20 to 24 years,1653.0,2019-11-01,Persons
3818903,Both sexes,25 to 29 years,2113.0,2019-11-01,Persons
3818904,Both sexes,30 to 34 years,2146.7,2019-11-01,Persons
3818905,Both sexes,35 to 39 years,2149.6,2019-11-01,Persons
3818906,Both sexes,40 to 44 years,2081.5,2019-11-01,Persons
3818907,Both sexes,45 to 49 years,1954.7,2019-11-01,Persons
3818908,Both sexes,50 to 54 years,2000.3,2019-11-01,Persons
3818909,Both sexes,55 to 59 years,1938.9,2019-11-01,Persons
3818910,Both sexes,60 to 64 years,1363.5,2019-11-01,Persons
3818911,Both sexes,65 years and over,910.3,2019-11-01,Persons
3818912,Both sexes,65 to 69 years,559.3,2019-11-01,Persons
3818913,Both sexes,70 years and over,351.0,2019-11-01,Persons
3818914,Males,15 years and over,9994.6,2019-11-01,Persons
3818915,Males,15 to 24 years,1222.3,2019-11-01,Persons
3818916,Males,25 years and over,8772.3,2019-11-01,Persons
3818917,Males,25 to 44 years,4418.7,2019-11-01,Persons
3818918,Males,45 to 64 years,3786.1,2019-11-01,Persons
3818919,Males,45 years and over,4353.6,2019-11-01,Persons
3818920,Males,25 to 54 years,6455.9,2019-11-01,Persons
3818921,Males,55 years and over,2316.4,2019-11-01,Persons
3818922,Males,15 to 64 years,9427.1,2019-11-01,Persons
3818923,Males,15 to 19 years,389.5,2019-11-01,Persons
3818924,Males,20 to 24 years,832.8,2019-11-01,Persons
3818925,Males,25 to 29 years,1083.9,2019-11-01,Persons
3818926,Males,30 to 34 years,1136.2,2019-11-01,Persons
3818927,Males,35 to 39 years,1127.9,2019-11-01,Persons
3818928,Males,40 to 44 years,1070.7,2019-11-01,Persons
3818929,Males,45 to 49 years,994.7,2019-11-01,Persons
3818930,Males,50 to 54 years,1042.4,2019-11-01,Persons
3818931,Males,55 to 59 years,1008.4,2019-11-01,Persons
3818932,Males,60 to 64 years,740.5,2019-11-01,Persons
3818933,Males,65 years and over,567.5,2019-11-01,Persons
3818934,Males,65 to 69 years,332.5,2019-11-01,Persons
3818935,Males,70 years and over,235.0,2019-11-01,Persons
3818936,Females,15 years and over,9108.7,2019-11-01,Persons
3818937,Females,15 to 24 years,1222.6,2019-11-01,Persons
3818938,Females,25 years and over,7886.1,2019-11-01,Persons
